unique_id,ds,y,y_hat_baseline,y_hat_shutoff,diff,diff_pct
14,2022-06-01,4.795570762,5.012416,5.0242386,0.0118227005,0.2358683
14,2022-07-01,4.727616689,4.999907,5.0204616,0.020554543,0.4110985
14,2022-08-01,4.670946576,4.9803505,4.9736266,-0.006723881,-0.13500819
14,2022-09-01,4.627867767,4.971494,4.9819984,0.010504246,0.21128951
14,2022-10-01,4.589871808,4.9607086,4.9745708,0.013862133,0.27943856
14,2022-11-01,4.567384365,4.956066,4.9575176,0.0014514923,0.029287186
22,2022-06-01,100.5085094,101.05154,101.085526,0.033988953,0.033635266
22,2022-07-01,102.5097005,102.228226,102.19897,-0.029258728,-0.028620988
22,2022-08-01,102.2856315,102.136505,102.03804,-0.098464966,-0.09640526
22,2022-09-01,101.3719223,101.31841,101.3159,-0.0025100708,-0.0024774084
22,2022-10-01,100.5061967,101.18939,101.17414,-0.01525116,-0.015071896
22,2022-11-01,102.4533507,102.390625,102.28575,-0.10487366,-0.10242506
23,2022-06-01,1.316464758,1.3722677,1.3730572,0.0007895231,0.05753419
23,2022-07-01,1.310768495,1.3673874,1.3691278,0.0017403364,0.12727457
23,2022-08-01,1.299889723,1.3668718,1.3624389,-0.0044329166,-0.32431108
23,2022-09-01,1.293164133,1.364265,1.3634408,-0.000824213,-0.06041444
23,2022-10-01,1.284784753,1.3588291,1.3593217,0.0004925728,0.036249794
23,2022-11-01,1.277080209,1.3484666,1.3488014,0.00033473969,0.024823727
27,2022-06-01,249.49866,255.31903,256.06186,0.74282837,0.29094124
27,2022-07-01,287.2456568,274.6769,274.7259,0.048980713,0.017832119
27,2022-08-01,266.4791051,263.62027,262.748,-0.87228394,-0.3308865
27,2022-09-01,255.411548,253.11581,253.3531,0.23728943,0.09374738
27,2022-10-01,249.4865327,255.91049,256.4846,0.5740967,0.22433496
27,2022-11-01,286.1494821,275.46292,274.5358,-0.927124,-0.33656946
3,2022-06-01,202.0732904,206.16055,206.65611,0.4955597,0.24037561
3,2022-07-01,228.2547172,219.9573,219.97762,0.020309448,0.009233359
3,2022-08-01,215.3497191,212.97426,212.39902,-0.5752411,-0.2700989
3,2022-09-01,206.8882291,205.19234,205.31235,0.120010376,0.058486775
3,2022-10-01,202.1506748,206.8194,207.05153,0.23213196,0.112238966
3,2022-11-01,227.6085874,220.66193,219.90405,-0.75787354,-0.3434546
31,2022-06-01,333.460743,339.68866,339.9928,0.30413818,0.089534394
31,2022-07-01,374.0978193,360.33118,360.15826,-0.1729126,-0.047987133
31,2022-08-01,350.6506846,347.03278,346.27972,-0.75305176,-0.2169973
31,2022-09-01,339.1423821,336.1108,336.0794,-0.031402588,-0.0093429275
31,2022-10-01,333.1404758,340.2618,340.34344,0.08163452,0.02399168
31,2022-11-01,372.7779346,360.44324,359.6053,-0.83795166,-0.23247813
33,2022-06-01,358.1312629,359.1797,359.3063,0.12661743,0.035251833
33,2022-07-01,363.9642969,362.50635,362.52264,0.016296387,0.0044954764
33,2022-08-01,362.2318506,361.577,361.38727,-0.18972778,-0.052472305
33,2022-09-01,359.9441086,359.5933,359.5671,-0.026184082,-0.0072815823
33,2022-10-01,358.329727,359.55905,359.57278,0.01373291,0.0038193755
33,2022-11-01,363.9564251,362.98547,362.72876,-0.25671387,-0.0707229
35,2022-06-01,80.35606868,80.49944,80.50274,0.0032958984,0.004094312
35,2022-07-01,80.39775069,80.508514,80.52056,0.012046814,0.014963403
35,2022-08-01,80.43782028,80.546906,80.53743,-0.009475708,-0.011764211
35,2022-09-01,80.40381703,80.5199,80.52679,0.0068893433,0.008556075
35,2022-10-01,80.30993758,80.48586,80.480644,-0.005218506,-0.0064837546
35,2022-11-01,80.35503165,80.498505,80.506546,0.008041382,0.00998948
38,2022-06-01,64.83888571,64.95909,64.962494,0.00340271,0.005238235
38,2022-07-01,65.13467921,65.13823,65.135025,-0.0032043457,-0.0049193013
38,2022-08-01,65.19590232,65.18825,65.17195,-0.016296387,-0.024998965
38,2022-09-01,65.06382264,65.07941,65.07942,1.5258789e-05,2.3446417e-05
38,2022-10-01,64.87763787,65.02953,65.02026,-0.009269714,-0.014254622
38,2022-11-01,65.16672538,65.224625,65.20219,-0.02243805,-0.034401193
40,2022-06-01,317.4646746,325.5465,326.09732,0.55081177,0.16919602
40,2022-07-01,373.6203438,353.55994,353.41956,-0.14038086,-0.039704967
40,2022-08-01,339.1745136,335.18274,333.5405,-1.6422424,-0.48995435
40,2022-09-01,324.4794189,320.85477,320.6267,-0.22805786,-0.07107822
40,2022-10-01,317.2967328,326.46457,326.77304,0.30847168,0.09448856
40,2022-11-01,372.4609653,354.14673,352.56433,-1.5823975,-0.44681972
45,2022-06-01,33.60084497,36.221806,36.809807,0.58800125,1.623335
45,2022-07-01,29.05531261,37.99469,38.15354,0.15885162,0.418089
45,2022-08-01,38.38385655,41.708565,42.091362,0.38279724,0.9177905
45,2022-09-01,38.15761504,39.9224,40.170376,0.2479744,0.62114096
45,2022-10-01,34.174209,37.040363,37.362324,0.32196045,0.86921513
45,2022-11-01,42.25536497,40.172947,40.054794,-0.11815262,-0.2941099
48,2022-06-01,116.8172749,121.873344,122.260345,0.38700104,0.31754363
48,2022-07-01,148.823988,138.02765,137.9604,-0.06724548,-0.04871885
48,2022-08-01,130.0452665,127.984146,127.198166,-0.7859802,-0.6141231
48,2022-09-01,121.1954232,119.512245,119.626274,0.11402893,0.09541192
48,2022-10-01,116.6505281,122.38094,122.65196,0.27101898,0.22145522
48,2022-11-01,147.9973977,138.44199,137.60634,-0.8356476,-0.6036085
50,2022-06-01,37.92757493,37.982258,37.979717,-0.0025405884,-0.006688882
50,2022-07-01,37.95712966,37.99015,37.992386,0.0022354126,0.00588419
50,2022-08-01,37.99717171,38.02061,38.011948,-0.0086631775,-0.022785477
50,2022-09-01,37.9890086,38.015102,38.013454,-0.0016479492,-0.0043349857
50,2022-10-01,37.93414635,37.995205,37.989277,-0.0059280396,-0.015602073
50,2022-11-01,37.9637894,38.01325,38.009766,-0.0034828186,-0.009162118
